Sputum_Number
SP2831
SP2097
SP2861
SP2963
SP3194
SP3283
SP304
SP539
SP5788
SP5976
SP1247
SP1412
SP2091
SP3487
SP3541
SP3733
SP2693
SP2766
SP2827
SP2911
